Chemical,Conc,Replicate,Ecotype,Root_calc,Shoot_calc
ABC,80ppm,3,WE,1.009393939,0.339280303
AC,20ppm,1,CE,0.500512821,1.047692308
AC,20ppm,1,CO,0.492324561,-0.072076023
AC,20ppm,1,SW,-0.233333333,0.066666667
AC,20ppm,1,WE,0.121568627,-0.27124183
AC,20ppm,2,CE,0.892820513,1.563076923
AC,20ppm,2,CO,0.929166667,0.480555556
AC,20ppm,2,SW,0.326666667,0.446666667
AC,20ppm,2,WE,0.703921569,0.299346405
AC,20ppm,3,CE,-0.468717949,-0.375384615
AC,20ppm,3,CO,-0.739254386,-1.708918129
AC,20ppm,3,SW,-0.993333333,-1.113333333
AC,20ppm,3,WE,-1.27254902,-1.818300654
AC,40ppm,1,CE,-0.221100065,-0.311209289
AC,40ppm,1,CO,0.274909582,-0.046993252
AC,40ppm,1,SW,0.913333333,-0.06
AC,40ppm,1,WE,0.05115942,-0.077173913
AC,40ppm,2,CE,-0.469152013,1.240089412
AC,40ppm,2,CO,-0.197090418,1.309006748
AC,40ppm,2,SW,0.383333333,0.59
AC,40ppm,2,WE,-0.410952381,1.979761905
AC,40ppm,3,CE,-0.303242922,-1.688887861
AC,40ppm,3,CO,0.746909582,-0.829993252
AC,40ppm,3,SW,1.083333333,-0.63
AC,40ppm,3,WE,-0.016666667,-0.05
AC,80ppm,1,CE,1.136309524,0.968492063
AC,80ppm,1,CO,1.831380952,1.270166667
AC,80ppm,1,SW,2.888888889,2.77037037
AC,80ppm,1,WE,1.560003716,-0.024111854
AC,80ppm,2,CE,2.147847985,-0.150738706
AC,80ppm,2,CO,2.686936508,0.769055556
AC,80ppm,2,SW,3.388888889,1.77037037
AC,80ppm,2,WE,1.540772947,-0.2765157
AC,80ppm,3,CE,0.996309524,-0.971507937
AC,80ppm,3,CO,2.366797619,-0.515666667
AC,80ppm,3,SW,2.101388889,1.53287037
AC,80ppm,3,WE,1.578272947,1.3547343
B,20ppm,1,CE,1.072222222,0.722777778
B,20ppm,1,CO,0.058789034,1.385019971
B,20ppm,1,SW,0.899010989,0.760842491
B,20ppm,1,WE,1.161784512,2.174074074
B,20ppm,2,CE,0.927222222,0.112777778
B,20ppm,2,CO,-0.003302469,1.304845679
B,20ppm,2,SW,0.129010989,-0.489157509
B,20ppm,2,WE,0.628451178,1.640740741
B,20ppm,3,CE,0.630555556,1.256111111
B,20ppm,3,CO,1.507808642,1.625216049
B,20ppm,3,SW,-0.950989011,-1.939157509
B,20ppm,3,WE,0.501784512,-0.565925926
B,40ppm,1,CE,0.842329239,0.356690368
B,40ppm,1,CO,-0.230458723,-0.491801473
B,40ppm,1,SW,-0.271818182,0.272121212
B,40ppm,1,WE,-0.071417069,-0.002640902
B,40ppm,2,CE,1.061446886,0.51771978
B,40ppm,2,CO,0.114995823,-0.424983292
B,40ppm,2,SW,0.064545455,0.622121212
B,40ppm,2,WE,0.12037037,-0.238148148
B,40ppm,3,CE,0.598946886,0.02396978
B,40ppm,3,CO,-0.335004177,-1.009983292
B,40ppm,3,SW,-0.322954545,0.209621212
B,40ppm,3,WE,-0.42962963,-0.86037037
B,80ppm,1,CE,-0.191098901,-0.145595238
B,80ppm,1,CO,0.600468227,-0.157720178
B,80ppm,1,SW,0.74537037,-0.326851852
B,80ppm,1,WE,-0.182094017,0.570982906
B,80ppm,2,CE,-0.205384615,-0.540833333
B,80ppm,2,CO,0.589870401,1.214018952
B,80ppm,2,SW,0.77037037,0.673148148
B,80ppm,2,WE,-0.241984127,-0.133412698
B,80ppm,3,CE,-0.247692308,0.733525641
B,80ppm,3,CO,0.789870401,0.807768952
B,80ppm,3,SW,-0.07962963,0.173148148
B,80ppm,3,WE,-1.092777778,-0.690555556
BC,20ppm,1,CE,0.038816739,0.477585378
BC,20ppm,1,CO,-0.528539576,-0.132162765
BC,20ppm,1,SW,-0.833333333,-1.04
BC,20ppm,1,WE,-0.187609649,0.148903509
